Symbol,Name,PricetoBookValue,Gross Profit(Quart),Return on Equity (TTM),Fixed Asset Turnover(Quartl),Earning Yield(forward 1y),Free Cash Flow Yield(TTM),30 D Avg Daily Volume,Momentum Score,Market Cap,Total Returns Price,3M Price Returns (Daily)
ANAT,American National Ins Co,0.6706,14890.0,0.0415,7.056,6.052,0.1112,2084693.0,5.0,32130.0,119.3,0.032
ANCX,Access National,1.423,14890.0,0.0772,1.814,4.667,0.093,3446483.0,6.0,59035.0,28.95,0.081
ANDV,Andeavor,1.873,68400.0,0.0546,0.6344,2.416,0.034,1493.0,8.0,16630.0,105.99,0.126
ANET,Arista Networks,10.31,25978.0,0.263,5.326,1.996,0.0145,6422513.0,10.0,13990.0,192.93,0.3266
ANF,Abercrombie & Fitch,0.8491,46090.0,-0.0171,0.9745,-2.464,0.0488,2970.0,3.0,98250.0,14.43,0.176
ANGO,AngioDynamics,1.207,4123.0,0.0071,1.907,1.782,0.0767,2968882.0,5.0,62527.0,17.03,0.0758
ANH,Anworth Mortgage Asset,0.9922,14890.0,0.1184,1.109,8.336,0.1114,5651003.0,8.0,58823.0,6.03,-0.0066
ANIK,Anika Therapeutics,3.575,2715.0,0.1519,0.6443,3.796,0.034,763859.0,6.0,87276.0,59.54,0.2019
ANIOY,Acerinox,1.746,60708.0,0.1087,1.109,6.396,-0.0028,36003.0,8.0,38370.0,6.95,0.0365
ANIP,ANI Pharmaceuticals,3.539,2364.0,0.0311,3.213,0.8389,-0.0611,9383243.0,3.0,62487.0,53.64,0.1418
ANSS,Ansys,4.88,22759.0,0.1231,4.868,2.467,0.0361,4874369.0,8.0,10680.0,126.06,0.0423
ANTM,Anthem,1.92,14890.0,0.1126,11.39,5.465,0.0696,1747.0,9.0,50740.0,193.22,0.0155
AOBC,American Outdoor Brands,2.17,4063.0,0.2364,0.8729,10.19,0.0274,2352.0,2.0,84782.0,15.7,-0.2896
AON,Aon,6.806,14890.0,0.338,4.337,2.564,0.0466,1085.0,8.0,37350.0,146.84,0.1008
AONNY,AEON,1.275,65870.0,0.0002,0.7773,1.558,0.1998,44097.0,5.0,12900.0,15.39,0.0322
AOS,A.O. Smith,6.522,30590.0,0.2246,1.565,3.23,0.0266,6763782.0,7.0,10520.0,61.0,0.0781
AOSL,Alpha & Omega,1.52,2509.0,0.0537,0.7635,3.265,-0.0304,8081613.0,2.0,41155.0,17.15,0.0496
AOZOY,Aozora Bank,2.2255000000000003,14890.0,0.1064,1.348,4.576499999999999,0.0415,904512.0,6.0,32310.0,33.42,0.0522
AP,Ampco-Pittsburgh,1.441,1853.0,-0.4482,0.517,-27.7,-0.0743,2933037.0,9.0,21507.0,17.4,0.2
AP.UN.TO,Allied Properties REIT,1.201,5964.0,0.1389,0.0193,12.03,-0.0454,1595835.0,7.0,37920.0,40.89,0.0632
APA,Apache,2.494,96400.0,-0.0006,0.0762,4.381,0.0304,3124.0,3.0,17210.0,45.17,-0.0131
APAM,Artisan Partners Asset,17.32,14890.0,0.6343,9.639,4.911,0.1816,3276493.0,8.0,25400.0,33.6,0.1016
APC,Anadarko Petroleum,2.376,18950.0,-0.1749,0.0943,-6.248,-0.0013,5151.0,2.0,27260.0,48.64,0.1151
APD,Air Products & Chemicals,3.55,63570.0,0.3656,0.257,4.413,0.0486,1495.0,5.0,33410.0,153.3,0.0786
APEI,American Public Education,1.238,4236.0,0.0589,0.7623,5.401,0.0855,7179007.0,3.0,33960.0,20.9,-0.0628
APELY,Alps Electric,2.3,35318.0,0.2794,1.351,11.42,0.014,11139.0,7.0,52420.0,53.51,-0.0576
APH,Amphenol,6.825,55260.0,0.253,2.228,3.458,0.035,9791883.0,8.0,26450.0,86.58,0.1945
APO,Apollo Global Management,13.02,24653.0,0.6058,1.109,5.536,0.1272,5589362.0,9.0,12470.0,30.46,0.1408
APOG,Apogee Enterprises,2.816,8600.0,0.1683,1.248,5.599,0.0426,3540371.0,3.0,14120.0,48.94,-0.1086
APTS,Preferred Apartment,0.5839,5073.0,0.0294,0.0357,-11.97,-1.45,3402451.0,8.0,62757.0,19.21,0.245
AQN.TO,Algonquin Power,1.918,19198.0,0.0663,0.0559,2.914,-0.0825,8143634.0,7.0,51690.0,13.4,0.0175
ARCB,ArcBest,1.403,43568.0,0.0385,1.335,2.779,0.0336,2620815.0,9.0,84445.0,32.85,0.5831
